epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,10476.4,0.88719,0.49145,0.95756,0.75793,0.7627,0.77959,0.51896,1.18618,0.71573,1.18715,0.0059905,0.0059905,0.0059905
83,10599.9,0.87922,0.48243,0.96059,0.7564,0.76253,0.78214,0.52116,1.18722,0.72157,1.18896,0.005941,0.005941,0.005941
84,10723.8,0.88227,0.48741,0.95849,0.75092,0.76938,0.78398,0.5204,1.18596,0.7221,1.19036,0.0058915,0.0058915,0.0058915
85,10844.7,0.87582,0.47917,0.95318,0.74868,0.77192,0.78271,0.51987,1.18591,0.72251,1.19132,0.005842,0.005842,0.005842
86,10965.8,0.87018,0.47919,0.9531,0.75341,0.76424,0.78313,0.52143,1.18464,0.72529,1.19275,0.0057925,0.0057925,0.0057925
87,11086.8,0.86327,0.47939,0.95082,0.7552,0.76409,0.78053,0.51947,1.18484,0.72484,1.19323,0.005743,0.005743,0.005743
88,11207.5,0.85989,0.47417,0.94762,0.77405,0.74801,0.78117,0.52009,1.18513,0.72686,1.19436,0.0056935,0.0056935,0.0056935
89,11328.3,0.85236,0.46979,0.94437,0.76302,0.75672,0.77995,0.51954,1.18622,0.72732,1.19667,0.005644,0.005644,0.005644
90,11450,0.85496,0.46869,0.94518,0.7633,0.75874,0.77937,0.52012,1.18693,0.72666,1.19781,0.0055945,0.0055945,0.0055945
91,11571.1,0.84796,0.46366,0.94508,0.76524,0.76031,0.77812,0.51766,1.18787,0.72761,1.19901,0.005545,0.005545,0.005545
92,11692.2,0.85004,0.46576,0.9423,0.77072,0.75865,0.78145,0.51679,1.18785,0.72707,1.19969,0.0054955,0.0054955,0.0054955
93,11813.7,0.83965,0.45743,0.93756,0.77113,0.76294,0.7814,0.5197,1.18856,0.72826,1.20114,0.005446,0.005446,0.005446
94,11935.3,0.83401,0.4572,0.93605,0.77211,0.76512,0.78109,0.51787,1.18925,0.72808,1.20202,0.0053965,0.0053965,0.0053965
95,12056.8,0.83092,0.45689,0.9347,0.77482,0.75635,0.78187,0.51768,1.19075,0.72841,1.20347,0.005347,0.005347,0.005347
96,12178.3,0.83623,0.45576,0.93461,0.77343,0.75506,0.78227,0.51904,1.19087,0.72798,1.20442,0.0052975,0.0052975,0.0052975
97,12299.7,0.8204,0.44635,0.9329,0.76822,0.75857,0.78226,0.51931,1.19146,0.72653,1.20551,0.005248,0.005248,0.005248
98,12420.7,0.825,0.45205,0.93287,0.77259,0.75559,0.78183,0.51889,1.1908,0.7269,1.20625,0.0051985,0.0051985,0.0051985
99,12541.8,0.81486,0.44686,0.93267,0.77782,0.7525,0.78379,0.5202,1.19132,0.72757,1.20702,0.005149,0.005149,0.005149
100,12663,0.82184,0.4476,0.93287,0.78043,0.74981,0.78309,0.51999,1.19126,0.7271,1.20738,0.0050995,0.0050995,0.0050995
101,12783.8,0.81144,0.44339,0.92989,0.77865,0.75036,0.78372,0.52026,1.1913,0.72731,1.20751,0.00505,0.00505,0.00505
102,12904.9,0.80671,0.4427,0.92456,0.77764,0.75218,0.78412,0.5195,1.19249,0.72822,1.20867,0.0050005,0.0050005,0.0050005
103,13026.4,0.80667,0.44199,0.92892,0.78087,0.75846,0.7848,0.52069,1.19277,0.72833,1.20926,0.004951,0.004951,0.004951
104,13147.7,0.79454,0.43544,0.92397,0.76499,0.76507,0.78337,0.51957,1.19368,0.72937,1.21033,0.0049015,0.0049015,0.0049015
105,13268.4,0.79463,0.43473,0.92357,0.76548,0.76383,0.78294,0.51882,1.19436,0.73007,1.21113,0.004852,0.004852,0.004852
106,13389.4,0.79394,0.43849,0.92656,0.76387,0.76891,0.783,0.51906,1.19485,0.72882,1.21172,0.0048025,0.0048025,0.0048025
107,13510.8,0.78152,0.42785,0.92067,0.76772,0.75953,0.78324,0.51994,1.19588,0.72895,1.21242,0.004753,0.004753,0.004753
108,13632.1,0.78451,0.43263,0.91814,0.76854,0.76564,0.7824,0.51953,1.19581,0.72996,1.21269,0.0047035,0.0047035,0.0047035
109,13754,0.78015,0.43063,0.91525,0.76845,0.76708,0.78226,0.51932,1.1962,0.73038,1.21342,0.004654,0.004654,0.004654
110,13875.2,0.77591,0.42325,0.91601,0.76924,0.7667,0.78244,0.51873,1.19625,0.72995,1.21405,0.0046045,0.0046045,0.0046045
111,13995.9,0.77702,0.42466,0.91639,0.76898,0.76611,0.78207,0.52016,1.19643,0.7301,1.21438,0.004555,0.004555,0.004555
112,14117.3,0.77307,0.42425,0.91521,0.76994,0.76579,0.78165,0.51988,1.19627,0.7312,1.21476,0.0045055,0.0045055,0.0045055
113,14244.9,0.76417,0.42203,0.91306,0.77112,0.76506,0.78198,0.52,1.19661,0.73116,1.21522,0.004456,0.004456,0.004456
114,14370.7,0.76597,0.42255,0.91627,0.77053,0.76397,0.78189,0.52098,1.19673,0.73215,1.21547,0.0044065,0.0044065,0.0044065
115,14495,0.75099,0.41394,0.9101,0.7747,0.76076,0.78284,0.52218,1.19721,0.73232,1.21628,0.004357,0.004357,0.004357
116,14617.1,0.75176,0.41441,0.90921,0.77214,0.76203,0.78356,0.52228,1.19715,0.7328,1.21689,0.0043075,0.0043075,0.0043075
117,14738.6,0.75809,0.41625,0.91163,0.76788,0.76377,0.78364,0.52317,1.19742,0.73225,1.21764,0.004258,0.004258,0.004258
118,14861.8,0.74428,0.4053,0.90542,0.77647,0.75977,0.78377,0.52305,1.19725,0.73199,1.21854,0.0042085,0.0042085,0.0042085
